Category,Company Name,Company Link
Top AI and ML Startups for 2022,Cohere,https://cohere.ai/
Top AI and ML Startups for 2022,Hugging Face,https://huggingface.co/
Top AI and ML Startups for 2022,Scale AI,https://scale.com/
Top AI and ML Startups for 2022,Snorkel AI,https://snorkel.ai/
Top AI and ML Startups for 2022,Hebbia,https://www.hebbia.ai/
Top AI and ML Startups for 2022,Mosaic,https://www.mosaicml.com/
Top AI and ML Startups for 2022,Abacus AI,https://abacus.ai/
Top AI and ML Startups for 2022,Aquarium,https://www.aquariumlearning.com/
Top AI and ML Startups for 2022,Modular,https://www.modular.com/
Top AI and ML Startups for 2022,Ponder,https://ponder.io/
Top AI and ML Startups for 2022,Adept,https://www.adept.ai/
Top AI and ML Startups for 2022,Predibase,https://predibase.com/
Top AI and ML Startups for 2022,Arthur AI,https://www.arthur.ai/
Top AI and ML Startups for 2022,Assembly AI,https://www.assemblyai.com/
Top AI and ML Startups for 2022,Robust Intelligence,https://robustintelligence.com
Top AI and ML Startups for 2022,Kumo,https://kumo.ai/
Top AI and ML Startups for 2022,Infinitus,https://infinitus.ai
Top AI and ML Startups for 2022,Hex,https://hex.tech/
Top AI and ML Startups for 2022,Ambient AI,https://ambient.ai/
Top AI and ML Startups for 2022,Anyscale,https://www.anyscale.com/
Top AI and ML Startups for 2022,Clarity AI,https://clarity.ai/
Top AI and ML Startups for 2022,Cresta,https://cresta.com/
Top AI and ML Startups for 2022,Primer,https://primer.ai
Top AI and ML Startups for 2022,Tecton,https://www.tecton.ai/
Top AI and ML Startups for 2022,Weights and Biases,https://wandb.ai/
Top Dev Tool Startups for 2022,Retool,https://retool.com/
Top Dev Tool Startups for 2022,Snyk,https://snyk.io/
Top Dev Tool Startups for 2022,Sourcegraph,https://about.sourcegraph.com/
Top Dev Tool Startups for 2022,Harness,https://harness.io/
Top Dev Tool Startups for 2022,Vercel,https://vercel.com/
Top Dev Tool Startups for 2022,Replit,https://replit.com/
Top Dev Tool Startups for 2022,Cribl,https://cribl.io/
Top Dev Tool Startups for 2022,Gatsby,https://www.gatsbyjs.com/
Top Dev Tool Startups for 2022,Supabase,https://supabase.com/
Top Dev Tool Startups for 2022,Kong,https://konghq.com/
Top Dev Tool Startups for 2022,LaunchDarkly,https://launchdarkly.com
Top Dev Tool Startups for 2022,Warp,https://www.warp.dev
Top Dev Tool Startups for 2022,Sentry,https://sentry.io
Top Productivity Tools 2022,Linear,https://linear.app/
Top Productivity Tools 2022,Zapier,https://www.zapier.com
Top Productivity Tools 2022,Calendly,https://calendly.com
Top Productivity Tools 2022,Notion,https://notion.so
Top Productivity Tools 2022,ModernLoop,https://modernloop.io
Top Productivity Tools 2022,Clockwise,https://
Top Productivity Tools 2022,Coda,https://coda.io/
Top Productivity Tools 2022,ClickUp,https://clickup.com/
Top Productivity Tools 2022,Superhuman,https://
Top Productivity Tools 2022,Grammarly,https://grammarly.com
Top Productivity Tools 2022,Glean,https://www.glean.com/
Top Productivity Tools 2022,Loom,https://loom.com
Top Productivity Tools 2022,Airtable,https://airtable.com
Top Mental Health Startups 2022,Spring Health,https://www.springhealth.com
Top Mental Health Startups 2022,Lyra Health,https://www.lyrahealth.com
Top Mental Health Startups 2022,Mantra Health,https://www.mantrahealth.com
Top Mental Health Startups 2022,Calm,https://www.calm.com
Top Mental Health Startups 2022,Grow Therapy,http://growtherapy.com/
Top Mental Health Startups 2022,Brightline,https://www.hellobrightline.com
Top Mental Health Startups 2022,Meru Health,https://www.meruhealth.com/
Top Mental Health Startups 2022,Alma,https://helloalma.com
Top Mental Health Startups 2022,Real,https://www.join-real.com
Top Startups For Engineering Interns 2023,Notion,https://notion.so
Top Startups For Engineering Interns 2023,Ramp,https://ramp.com
Top Startups For Engineering Interns 2023,Applied Intuition,https://appliedintuition.com
Top Startups For Engineering Interns 2023,Anduril,https://anduril.com
Top Startups For Engineering Interns 2023,Abnormal Security,https://abnormalsecurity.com
Top Startups For Engineering Interns 2023,Retool,https://retool.com/
Top Startups For Engineering Interns 2023,Varda,https://varda.com/
Top Startups For Engineering Interns 2023,Replit,https://replit.com/
Top Startups For Engineering Interns 2023,Heirloom,https://www.heirloomcarbon.com/
Top Startups For Engineering Interns 2023,Vanta,https://vanta.com
Top Startups For Engineering Interns 2023,LaunchDarkly,https://launchdarkly.com
Top Startups For Engineering Interns 2023,Stripe,https://stripe.com/
Top Startups For Engineering Interns 2023,Warp,https://www.warp.dev
Top Startups For Engineering Interns 2023,Plaid,https://plaid.com/
Top Startups For Engineering Interns 2023,Rippling,https://rippling.com
Top Startups For Engineering Interns 2023,Brex,https://brex.com
Top Startups For Engineering Interns 2023,Hugging Face,https://huggingface.co/
Top Startups For Engineering Interns 2023,Modern Treasury,https://www.moderntreasury.com/
Top Startups For Engineering Interns 2023,Fairmarkit,https://www.fairmarkit.com
Top Startups For Engineering Interns 2023,Canva,https://Canva.com
Top Startups For Engineering Interns 2023,Front,https://front.com
Top Startups For Engineering Interns 2023,Instabase,https://instabase.com
Top Startups For Engineering Interns 2023,Figma,https://FIgma.com
Top Startups For Engineering Interns 2023,Loom,https://loom.com
Top Startups For Engineering Interns 2023,Faire,https://www.faire.com/
Top Startups For Engineering Interns 2023,Verkada,https://verkada.com
Top Startups For Engineering Interns 2023,Benchling,https://www.benchling.com/
Top Startups For Engineering Interns 2023,Coda,https://coda.io/
Top Startups For Engineering Interns 2023,Relativity Space,https://relativityspace.com
Top Startups For Engineering Interns 2023,Nuro,https://nuro.ai
Top Edtech Startups 2022,Primer,https://primer.com/
Top Fintech Startups 2022,AtoB,/meet-atob-the-100-million-fintech-transforming-transportation
Top Fintech Startups 2022,AtoB,https://www.atob.com/
Top Fintech Startups 2022,Ramp,https://ramp.com
Top Fintech Startups 2022,Mercury,https://mercury.com/
Top Fintech Startups 2022,Check,https://checkhq.com/
Top Fintech Startups 2022,Esusu,https://esusurent.com/
Top Fintech Startups 2022,Alloy,https://alloy.co/
Top Fintech Startups 2022,Corvus Insurance,https://www.corvusinsurance.com/
Top Fintech Startups 2022,Wisetack,https://wisetack.com/
Top Fintech Startups 2022,Finix,https://www.finixpayments.com/
Top Fintech Startups 2022,Catch,/meet-catch-the-khosla-backed-startup-bringing-benefits-to-freelancers
Top Fintech Startups 2022,Catch,https://catch.co/
Top Fintech Startups 2022,Ascend,https://www.useascend.com/
Top Fintech Startups 2022,Lithic,https://lithic.com/
Top Fintech Startups 2022,Cardless,https://www.cardless.com/
Top Fintech Startups 2022,Ampla,https://www.getampla.com/
Top Fintech Startups 2022,Moov Financial,https://moov.io
Top Fintech Startups 2022,Middesk,https://middesk.com/
Top Fintech Startups 2022,Slope,https://www.slope.so/
Top Fintech Startups 2022,Modern Treasury,https://www.moderntreasury.com/
Top Fintech Startups 2022,Nova Credit,https://www.novacredit.com/
Top Fintech Startups 2022,Papaya,https://papayapay.com
Top Fintech Startups 2022,Pilot,https://pilot.com/
Top Fintech Startups 2022,Truv,https://www.truv.com/
Top Fintech Startups 2022,Alpaca,https://alpaca.markets/
Top Fintech Startups 2022,Cedar,https://cedar.com
Top Fintech Startups 2022,Chipper Cash,https://chippercash.com/
Top Fintech Startups 2022,Settle,https://settle.co
Top Fintech Startups 2022,Parafin,https://www.parafin.com/
Top Fintech Startups 2022,Pave,/meet-pave-the-400-million-fintech-explaining-compensation-packages
Top Fintech Startups 2022,Pave,https://www.pave.com/
Top Fintech Startups 2022,Mos,https://www.mos.com/
Top Fintech Startups 2022,Found,https://found.com/
Top Climate Startups 2022,Patch,/meet-patch-climate-change-startup-list-2022
Top Climate Startups 2022,Patch,https://www.patch.io/
Top Climate Startups 2022,Bowery Farming,https://boweryfarming.com
Top Climate Startups 2022,Watershed,https://www.watershedclimate.com/
Top Climate Startups 2022,Pachama,https://pachama.com
Top Climate Startups 2022,KoBold Metals,https://koboldmetals.com
Top Climate Startups 2022,Dandelion,https://dandelionenergy.com/
Top Climate Startups 2022,Commonwealth Fusion Systems,https://cfs.energy
Top Climate Startups 2022,Aclima,https://aclima.io
Top Climate Startups 2022,AMP Robotics,https://www.amprobotics.com/
Top Climate Startups 2022,Antora Energy,https://antoraenergy.com/
Top Climate Startups 2022,DroneSeed,https://droneseed.com/
Top Climate Startups 2022,Shelf Engine,https://www.shelfengine.com/
Top Climate Startups 2022,Upside Foods,https://upsidefoods.com/
Top Climate Startups 2022,Persefoni,https://persefoni.com
Top Climate Startups 2022,SINAI Technologies,https://sinaitechnologies.com
Top Climate Startups 2022,ClimateAI,https://climate.ai
Top Climate Startups 2022,Aurora Solar,https://www.aurorasolar.com/
Top Climate Startups 2022,Demex,https://thedemexgroup.com
Top Climate Startups 2022,Apeel,https://apeel.com
Top Climate Startups 2022,Arcadia,https://www.arcadia.com/
Top Climate Startups 2022,Emitwise,https://emitwise.com
Top Climate Startups 2022,ZeroAvia,https://zeroavia.com
Top Climate Startups 2022,Zap Energy,https://www.zapenergyinc.com/
Top Climate Startups 2022,Tortuga AgTech,https://tortugaagtech.com
Top Climate Startups 2022,Redwood Materials,https://redwoodmaterials.com/
Top Climate Startups 2022,Prometheus,https://prometheusfuels.com
Top Climate Startups 2022,Jupiter Intelligence,https://jupiterintel.com
Top Climate Startups 2022,Myst AI,https://www.myst.ai/
Top Climate Startups 2022,Heirloom,https://www.heirloomcarbon.com/
Top Climate Startups 2022,Terraformation,https://www.terraformation.com/
Top Crypto Startups 2022,OpenSea,https://opensea.io/
Top Crypto Startups 2022,Mirror,https://mirror.xyz
Top Crypto Startups 2022,Uniswap,http://uniswap.org/
Top Crypto Startups 2022,dYdX,https://dydx.exchange/
Top Crypto Startups 2022,Fireblocks,https://www.fireblocks.com/
Top Crypto Startups 2022,Aleo,https://aleo.org/
Top Crypto Startups 2022,MakerDAO,https://makerdao.com/
Top Crypto Startups 2022,Ponto,https://ponto.org/
Top Crypto Startups 2022,Ava Labs,https://avalabs.org/
Top Crypto Startups 2022,Dapper Labs,https://www.dapperlabs.com/
Top Crypto Startups 2022,Solana Labs,https://solana.com/
Top Crypto Startups 2022,Rainbow,http://rainbow.me/
Top Crypto Startups 2022,Aave,https://www.aave.com/
Top Crypto Startups 2022,Zapper,http://zapper.fi/
Top Crypto Startups 2022,Axie Infinity,http://axieinfinity.com/
Top Crypto Startups 2022,Nansen,https://www.nansen.ai/
Top Crypto Startups 2022,Compound Labs,https://compound.finance
Top Crypto Startups 2022,Optimism,https://nansen.ai/
Top Crypto Startups 2022,Phantom,https://phantom.app/
Top Crypto Startups 2022,Polygon,https://polygon.technology/
Top Crypto Startups 2022,Zora,https://zora.co/
Top Crypto Startups 2022,Flashbots,https://github.com/flashbots/pm
Top Crypto Startups 2022,Offchain Labs,https://offchainlabs.com/
Top Crypto Startups 2022,Celestia,https://celestia.org/
Top Crypto Startups 2022,Fractional,https://fractional.art/
Top Crypto Startups 2022,Yield Guild Games,https://yieldguild.io/
Top Crypto Startups 2022,The Graph,https://thegraph.com/
Top Crypto Startups 2022,MoonPay,http://moonpay.com/
Top FinTech Startups 2021,Ramp,https://ramp.com
Top FinTech Startups 2021,Modern Treasury,https://www.moderntreasury.com/
Top FinTech Startups 2021,Cedar,https://cedar.com
Top FinTech Startups 2021,Even,https://even.com
Top FinTech Startups 2021,BlockFi,https://blockfi.com
Top FinTech Startups 2021,SigFig,https://sigfig.com
Top FinTech Startups 2021,Public,https://public.com
Top FinTech Startups 2021,Snapdocs,https://snapdocs.com
Top FinTech Startups 2021,Papaya,https://papayapay.com
Top FinTech Startups 2021,Ethos Life,https://www.ethoslife.com/
Top FinTech Startups 2021,Plaid,https://plaid.com/
Top FinTech Startups 2021,Rapyd,https://www.rapyd.net/
Top FinTech Startups 2021,Alpaca,https://alpaca.markets/
Top FinTech Startups 2021,Carta,https://carta.com/
Top FinTech Startups 2021,Divvy,https://getdivvy.com/
Top FinTech Startups 2021,Cadre,https://cadre.com/
Top FinTech Startups 2021,Earnin,https://earnin.com
Top FinTech Startups 2021,Blend,https://blend.com/
Top FinTech Startups 2021,Tally,https://www.meettally.com/
Top FinTech Startups 2021,Moov Financial,https://moov.io
Top FinTech Startups 2021,Marqeta,https://marqueta.com
Top FinTech Startups 2021,Finix,https://www.finixpayments.com/
Top FinTech Startups 2021,Acorns,https://acorns.com
Top FinTech Startups 2021,Mercury,https://mercury.com/
Top FinTech Startups 2021,Brex,https://brex.com
Top FinTech Startups 2021,Robinhood,https://robinhood.com
Top FinTech Startups 2021,Alloy,https://alloy.co/
Top FinTech Startups 2021,Check,https://checkhq.com/
Top FinTech Startups 2021,Middesk,https://middesk.com/
Top FinTech Startups 2021,Nova Credit,https://www.novacredit.com/
Top FinTech Startups 2021,Chipper Cash,https://chippercash.com/
Top FinTech Startups 2021,Ribbon,https://www.ribbonhome.com/
Top FinTech Startups 2021,Capitalize,https://hicapitalize.com/
Top FinTech Startups 2021,Corvus Insurance,https://www.corvusinsurance.com/
Top FinTech Startups 2021,Tala,https://tala.co/
Top FinTech Startups 2021,Dwolla,https://www.dwolla.com/
Top FinTech Startups 2021,Sila,https://silamoney.com/
Top FinTech Startups 2021,Petal,https://www.petalcard.com/
Top FinTech Startups 2021,Zero,https://zero.app/
Top FinTech Startups 2021,Synctera,https://www.synctera.com/
Top FinTech Startups 2021,Cardless,https://www.cardless.com/
Top FinTech Startups 2021,GoCardless,https://gocardless.com/
Top Creator Economy Startups 2021,Figma,https://FIgma.com
Top Creator Economy Startups 2021,OpenSea,https://opensea.io/
Top Creator Economy Startups 2021,Discord,https://discord.com
Top Creator Economy Startups 2021,Monthly,https://monthly.com/
Top Creator Economy Startups 2021,Creative Juice,https://getjuice.com
Top Creator Economy Startups 2021,Islands,https://islands.xyz
Top Creator Economy Startups 2021,Karat,https://trykarat.com
Top Creator Economy Startups 2021,Substack,https://substack.com
Top Creator Economy Startups 2021,100 Thieves,https://100thieves.com
Top Creator Economy Startups 2021,Foundation,https://foundation.app/
Top Creator Economy Startups 2021,Collective,https://www.collective.com/
Top Creator Economy Startups 2021,Rarible,https://rarible.com
Top Creator Economy Startups 2021,Descript,https://descript.com
Top Creator Economy Startups 2021,Cameo,https://cameo.com
Top Creator Economy Startups 2021,Linktree,https://linktr.ee
Top Creator Economy Startups 2021,Beacons,https://beacons.ai
Top Creator Economy Startups 2021,Luma,https://lu.ma
Top Creator Economy Startups 2021,Patreon,https://patreon.com
Top Creator Economy Startups 2021,Streamloots,https://Streamloots.com
Top Creator Economy Startups 2021,Curated,https://www.curated.com
Top Creator Economy Startups 2021,Zora,https://zora.co/
Top Creator Economy Startups 2021,Pico,https://trypico.com/
Top Creator Economy Startups 2021,Fourthwall,https://fourthwall.com
Top Creator Economy Startups 2021,Kapwing,https://kapwing.com
Top Creator Economy Startups 2021,Pearpop,https://pearpop.com
Top Creator Economy Startups 2021,Spline,https://spline.design
Top Creator Economy Startups 2021,Landr,https://landr.com
Top Creator Economy Startups 2021,Splice,https://splice.com
Top Creator Economy Startups 2021,Grin,https://grin.co
Top Startups for Engineering Interns 2022,Ramp,https://ramp.com
Top Startups for Engineering Interns 2022,Anduril,https://anduril.com
Top Startups for Engineering Interns 2022,Coda,https://coda.io/
Top Startups for Engineering Interns 2022,Bolt,https://bolt.com
Top Startups for Engineering Interns 2022,Instabase,https://instabase.com
Top Startups for Engineering Interns 2022,Loom,https://loom.com
Top Startups for Engineering Interns 2022,Abnormal Security,https://abnormalsecurity.com
Top Startups for Engineering Interns 2022,Flatiron Health,https://flatiron.com
Top Startups for Engineering Interns 2022,Applied Intuition,https://appliedintuition.com
Top Startups for Engineering Interns 2022,Front,https://front.com
Top Startups for Engineering Interns 2022,Zipline,https://flyzipline.com/
Top Startups for Engineering Interns 2022,Verkada,https://verkada.com
Top Startups for Engineering Interns 2022,Sentry,https://sentry.io
Top Startups for Engineering Interns 2022,Rockset,https://rockset.com
Top Startups for Engineering Interns 2022,Nuna,https://nuna.com
Top Startups for Engineering Interns 2022,Sym,https://symops.com
Top Startups for Engineering Interns 2022,Curvegrid,https://curvegrid.com/
Top Startups for Engineering Interns 2022,TruEra,https://truera.com
Top Startups for Engineering Interns 2022,Censys,https://censys.com
Top Startups for Engineering Interns 2022,Primer,https://primer.ai
Top Startups for Engineering Interns 2022,Snackpass,https://snackpass.co
Top Startups for Engineering Interns 2022,Rippling,https://rippling.com
Top Startups for Engineering Interns 2022,Abridge,https://abridge.com
Top Startups for Engineering Interns 2022,LaunchDarkly,https://launchdarkly.com
Top Startups for Engineering Interns 2022,Skydio,https://skydio.com
Top Startups for Engineering Interns 2022,Productiv,https://productiv.com
